T,fitness
733,37826200387.34623
811,1115099246426.1497
133,3129.3728474903164
355,118607.9631146303
777,243730289147.45428
115,2598.725847548679
452,1415440.839203279
940,523445234018726.7
879,26904262952176.12
345,83519.32868588885
576,86162338.14364585
153,3744.425227412626
950,888959050673058.8
602,212907414.254422
162,4177.977808085159
238,10695.506335190168
422,645414.6345700105
511,8839242.306517022
660,1964500730.7261024
285,26153.054867175953
128,2772.2845657810553
245,12516.250506861386
2,1850.5327699934462
13,1725.7219299880385
2,1850.5327699934462
115,2598.725847548679
70,1926.2525920289308
161,4038.565864211533
124,2943.5322734053657
164,4005.862583853908
181,5076.667244762013
152,3522.72733030807
2,1850.5327699934462
10,1722.0906432120742
2,1850.5327699934462
27,1854.396728105294
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
3,1795.285151015545
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
13,1725.7219299880385
2,1850.5327699934462
2,1850.5327699934462
55,1870.2341950507139
2,1850.5327699934462
23,1791.1905694931907
73,1948.530977680994
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
37,1780.45228417227
2,1850.5327699934462
2,1850.5327699934462
42,1850.193791964338
2,1850.5327699934462
13,1725.7219299880385
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
12,1725.2130701628937
23,1791.1905694931907
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
5,1739.1193675228242
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
40,1833.725548647376
2,1850.5327699934462
5,1739.1193675228242
2,1850.5327699934462
139,3050.9229353132882
2,1850.5327699934462
2,1850.5327699934462
23,1791.1905694931907
2,1850.5327699934462
10,1722.0906432120742
37,1780.45228417227
2,1850.5327699934462
12,1725.2130701628937
14,1752.0710430692434
10,1722.0906432120742
2,1850.5327699934462
2,1850.5327699934462
8,1727.2548664008457
40,1833.725548647376
5,1739.1193675228242
2,1850.5327699934462
7,1716.0949507364714
14,1752.0710430692434
2,1850.5327699934462
2,1850.5327699934462
12,1725.2130701628937
2,1850.5327699934462
55,1870.2341950507139
29,1875.7877722362398
2,1850.5327699934462
46,1888.232564193567
37,1780.45228417227
8,1727.2548664008457
51,1851.1861609957075
2,1850.5327699934462
20,1781.2998963676603
70,1926.2525920289308
68,1919.5143337509196
13,1725.7219299880385
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
16,1764.632858596954
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
4,1736.84368274288
2,1850.5327699934462
22,1798.779529228968
16,1764.632858596954
2,1850.5327699934462
34,1757.786958555323
4,1736.84368274288
7,1716.0949507364714
23,1791.1905694931907
31,1771.4462571061447
38,1766.8399436174745
2,1850.5327699934462
2,1850.5327699934462
50,1854.0079933916859
2,1850.5327699934462
2,1850.5327699934462
27,1854.396728105294
2,1850.5327699934462
2,1850.5327699934462
71,1969.5670678225881
2,1850.5327699934462
2,1850.5327699934462
121,2646.287938694522
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
18,1750.584132461893
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
6,1732.239592369149
20,1781.2998963676603
3,1795.285151015545
28,1795.802652781293
2,1850.5327699934462
53,1831.0005832110414
10,1722.0906432120742
2,1850.5327699934462
18,1750.584132461893
69,1934.6089607862318
2,1850.5327699934462
44,1878.6230970977624
13,1725.7219299880385
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
2,1850.5327699934462
53,1831.0005832110414
2,1850.5327699934462
12,1725.2130701628937
24,1825.3173996911964
96,2303.0274174797732
9,1745.161340499082
2,1850.5327699934462
2,1850.5327699934462
9,1745.161340499082
33,1751.5975967646316
3,1795.285151015545
12,1725.2130701628937
