individual_id,T,alpha,eta,fitness
0,2,0.5,0.5,2179.293919420578
1,2,0.5,0.5,2179.293919420578
2,2,0.5,0.5,2179.293919420578
3,2,0.5,0.5,2179.293919420578
4,2,0.5,0.5,2179.293919420578
5,2,0.5,0.5,2179.293919420578
6,2,0.5,0.5,2179.293919420578
7,2,0.5,0.5,2179.293919420578
8,2,0.5,0.5,2179.293919420578
9,2,0.5,0.5,2179.293919420578
10,2,0.5,0.5,2179.293919420578
11,2,0.5,0.5,2179.293919420578
12,2,0.5,0.5,2179.293919420578
13,2,0.5,0.5,2179.293919420578
14,2,0.5,0.5,2179.293919420578
15,2,0.5,0.5,2179.293919420578
16,2,0.5,0.5,2179.293919420578
17,2,0.5,0.5,2179.293919420578
18,6,0.16666666666666666,0.16666666666666666,2243.770046080437
19,2,0.5,0.5,2179.293919420578
